"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 14 09:54:02 CST 2025","Tue Oct 14 09:54:03 CST 2025","1044","do_interface_excel_allure","test_restart","","","","手机号登录",""
"passed","Tue Oct 14 09:54:03 CST 2025","Tue Oct 14 09:54:04 CST 2025","1118","do_interface_excel_allure","test_restart","","","","修改已存在的用户名",""
"passed","Tue Oct 14 09:54:04 CST 2025","Tue Oct 14 09:54:06 CST 2025","1311","do_interface_excel_allure","test_restart","","","","修改已存在的用户名",""
"passed","Tue Oct 14 09:54:07 CST 2025","Tue Oct 14 09:54:07 CST 2025","620","","","","","","确认分公司",""
"passed","Tue Oct 14 09:53:59 CST 2025","Tue Oct 14 09:54:00 CST 2025","1125","do_interface_excel_allure","test_restart","","","","账号登录",""
"passed","Tue Oct 14 09:54:06 CST 2025","Tue Oct 14 09:54:07 CST 2025","775","do_interface_excel_allure","test_restart","","","","用户个人信息",""
"passed","Tue Oct 14 09:54:01 CST 2025","Tue Oct 14 09:54:02 CST 2025","609","do_interface_excel_allure","test_restart","","","","正确的账号，7位的密码",""
"passed","Tue Oct 14 09:54:00 CST 2025","Tue Oct 14 09:54:00 CST 2025","462","do_interface_excel_allure","test_restart","","","","正确的账号，错误的密码登录",""
"passed","Tue Oct 14 09:54:00 CST 2025","Tue Oct 14 09:54:01 CST 2025","530","do_interface_excel_allure","test_restart","","","","错误的账号，正确的密码登录",""
"passed","Tue Oct 14 09:54:02 CST 2025","Tue Oct 14 09:54:02 CST 2025","645","do_interface_excel_allure","test_restart","","","","禁止登录的账户登录",""
